"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.49535506366045,0.974,0.586,0,"0","DLX6-AS1"
"2",0,1.44846929703274,0.862,0.473,0,"0","PBX3"
"3",0,1.43202912060102,0.587,0.157,0,"0","DUSP4"
"4",0,1.24876455712264,0.889,0.536,0,"0","PBX1"
"5",0,1.16756174575779,0.911,0.508,0,"0","RUNX1T1"
"6",0,1.12611181700486,0.613,0.267,0,"0","WLS"
"7",0,1.04507753789411,0.989,0.771,0,"0","STMN2"
"8",0,1.04394885376235,0.75,0.359,0,"0","CELF4"
"9",0,1.04365521947513,0.76,0.368,0,"0","TAGLN3"
"10",0,1.034350419893,0.476,0.143,0,"0","TSHZ1"
"11",0,1.01346861617479,0.711,0.39,0,"0","RBP1"
"12",0,0.983674564912507,0.999,0.955,0,"0","SOX4"
"13",0,0.963349589382295,0.261,0.064,0,"0","SCGN"
"14",0,0.939588900826131,0.962,0.777,0,"0","SOX11"
"15",0,0.932201799988223,0.953,0.651,0,"0","BEX1"
"16",0,0.919860257926754,0.209,0.069,0,"0","CALB2"
"17",0,0.891461411384519,0.915,0.612,0,"0","MLLT11"
"18",0,0.886795641736622,0.877,0.525,0,"0","BCL11A"
"19",0,0.880465979854139,0.516,0.217,0,"0","C11orf96"
"20",0,0.878599727197481,0.809,0.419,0,"0","SCG3"
"21",0,0.857995229352754,0.773,0.437,0,"0","MPPED2"
"22",0,0.834605185655773,0.393,0.128,0,"0","CPLX2"
"23",0,0.819773158801493,0.66,0.329,0,"0","DLX5"
"24",0,0.819219343556202,0.739,0.455,0,"0","SHTN1"
"25",0,0.81406392321109,0.447,0.172,0,"0","SLAIN1"
"26",0,0.804862908934525,0.986,0.79,0,"0","MARCKSL1"
"27",0,0.804439317698752,0.365,0.168,0,"0","FOXP2"
"28",0,0.802448795445678,0.613,0.357,0,"0","GNG4"
"29",0,0.792526225332046,0.883,0.606,0,"0","TERF2IP"
"30",0,0.780240247355382,0.998,0.887,0,"0","STMN1"
"31",0,0.770664173381214,0.762,0.491,0,"0","AES"
"32",0,0.766862470743657,0.685,0.444,0,"0","KAT6B"
"33",0,0.764413635824988,0.576,0.333,0,"0","ATP1B1"
"34",0,0.741754085146867,0.865,0.611,0,"0","ZNF428"
"35",0,0.733098964695838,0.301,0.108,0,"0","SYT10"
"36",0,0.730473181825071,0.955,0.656,0,"0","CD24"
"37",0,0.727607710949727,0.98,0.759,0,"0","MEIS2"
"38",0,0.726945290582397,0.474,0.183,0,"0","LINC00599"
"39",0,0.707778101360665,0.453,0.219,0,"0","TIAM2"
"40",0,0.701769888974602,0.992,0.853,0,"0","H3F3B"
"41",0,0.691812351562267,0.507,0.282,0,"0","DCLK2"
"42",0,0.686780053015799,0.715,0.393,0,"0","AC004158.1"
"43",0,0.684078831823159,0.365,0.154,0,"0","ZADH2"
"44",0,0.674872148650997,0.846,0.576,0,"0","PAFAH1B3"
"45",0,0.669801404628057,0.46,0.243,0,"0","GABBR1"
"46",0,0.66551903364769,0.493,0.228,0,"0","SNTG1"
"47",0,0.665238901608536,0.902,0.708,0,"0","CCDC88A"
"48",0,0.663187610167991,0.778,0.479,0,"0","SYT1"
"49",0,0.662926581202984,0.999,0.926,0,"0","MAP1B"
"50",0,0.658020912939562,0.475,0.272,0,"0","LHFPL6"
"51",0,0.657669528799915,0.528,0.331,0,"0","TMEM161B-AS1"
"52",0,0.656043038061606,0.596,0.369,0,"0","EFNB2"
"53",0,0.647403273384981,0.518,0.335,0,"0","MICU1"
"54",0,0.647354453632625,0.989,0.806,0,"0","DCX"
"55",0,0.646284503485539,0.553,0.316,0,"0","MEF2C"
"56",0,0.640119540119095,0.58,0.29,0,"0","DLX1"
"57",0,0.639478491225349,0.855,0.594,0,"0","LINC00461"
"58",0,0.637638438924849,0.555,0.265,0,"0","GRIA1"
"59",0,0.637532846791779,0.49,0.331,0,"0","LAPTM4B"
"60",0,0.633153741367236,0.456,0.247,0,"0","ABRACL"
"61",0,0.631234163923254,0.736,0.491,0,"0","BEX2"
"62",0,0.630985268848872,0.994,0.827,0,"0","BASP1"
"63",0,0.627347311498604,0.913,0.696,0,"0","AKAP9"
"64",0,0.618444708409419,0.721,0.455,0,"0","DCLK1"
"65",0,0.616402858665451,0.762,0.535,0,"0","PPP1R14B"
"66",0,0.615942189397174,0.985,0.826,0,"0","DDX5"
"67",0,0.614367425018595,0.892,0.655,0,"0","C4orf48"
"68",0,0.612444290036931,0.619,0.396,0,"0","NFIB"
"69",0,0.608538057332905,0.764,0.527,0,"0","APC"
"70",0,0.604335118341771,0.437,0.208,0,"0","ARX"
"71",0,0.601922592227718,0.998,0.896,0,"0","H3F3A"
"72",0,0.601626199367987,0.984,0.818,0,"0","NNAT"
"73",0,0.596039272874819,0.246,0.058,0,"0","TMEFF2"
"74",0,0.589550108290827,0.764,0.509,0,"0","KIFAP3"
"75",0,0.588698318907083,0.565,0.316,0,"0","GPC2"
"76",0,0.58771081291272,0.472,0.272,0,"0","MEIS3"
"77",0,0.585373103886623,0.653,0.435,0,"0","DBN1"
"78",0,0.582949379264346,0.306,0.147,0,"0","SNCA"
"79",0,0.582070310999802,0.748,0.52,0,"0","FEZ1"
"80",0,0.580124174746691,0.343,0.138,0,"0","SCRT2"
"81",0,0.574588552591267,0.216,0.046,0,"0","ERBB4"
"82",0,0.568984455913737,0.406,0.184,0,"0","LRP8"
"83",0,0.5661733064592,0.836,0.562,0,"0","CRMP1"
"84",0,0.561434524010094,0.543,0.347,0,"0","ZNF704"
"85",0,0.558380447851515,0.616,0.416,0,"0","TDG"
"86",0,0.554130049456803,0.613,0.404,0,"0","GSTA4"
"87",0,0.54941511364311,0.775,0.558,0,"0","ZBTB20"
"88",0,0.549269959715532,0.245,0.088,0,"0","SPOCK1"
"89",0,0.545289273439867,0.331,0.152,0,"0","CITED2"
"90",0,0.540332457905835,0.478,0.245,0,"0","GDAP1L1"
"91",0,0.535926534995569,0.32,0.165,0,"0","SIPA1L1"
"92",0,0.524526549019228,0.556,0.294,0,"0","GAD2"
"93",3.91002347302912e-238,0.524114407502815,0.334,0.199,1.31134367238451e-233,"0","FGF13"
"94",0,0.522835490576812,0.962,0.742,0,"0","JPT1"
"95",1.61590272466865e-256,0.518434889732621,0.225,0.104,5.4194145579937e-252,"0","RMRP"
"96",0,0.518341288001154,0.192,0.032,0,"0","KCNJ3"
"97",0,0.517199792460741,0.997,0.883,0,"0","TUBB2B"
"98",0,0.51704160300447,0.674,0.482,0,"0","ATXN7L3B"
"99",0,0.514770906817744,0.331,0.138,0,"0","PTPRO"
"100",0,0.507691367711379,0.999,0.969,0,"0","TMSB10"
"101",0,0.504225822389667,0.845,0.657,0,"0","TCEAL4"
"102",0,0.501464944477386,0.295,0.118,0,"0","SP8"
"103",0,0.501020731096982,0.872,0.602,0,"0","ELAVL3"
"104",0,0.498270027488971,0.351,0.168,0,"0","NRP2"
"105",0,0.498182439471963,0.435,0.236,0,"0","CAMK4"
"106",0,0.496440272990916,0.631,0.441,0,"0","MEX3A"
"107",0,0.49475514893611,0.783,0.486,0,"0","RTN1"
"108",0,0.494320021340567,0.727,0.542,0,"0","TCF4"
"109",1.02775715534112e-219,0.493376221178342,0.293,0.166,3.44689194758306e-215,"0","ARL4D"
"110",0,0.493066958733874,0.513,0.352,0,"0","SVBP"
"111",0,0.490814061571308,0.238,0.085,0,"0","PCDH11X"
"112",0,0.48961422725137,0.484,0.314,0,"0","NRIP1"
"113",0,0.489513443234868,0.944,0.752,0,"0","NREP"
"114",0,0.488981569046136,0.468,0.252,0,"0","TTC9B"
"115",8.97702864125963e-298,0.488953857751261,0.294,0.144,3.01071586570565e-293,"0","GAS2L3"
"116",0,0.484967187339093,0.955,0.775,0,"0","SUMO2"
"117",0,0.484448576993819,1,0.982,0,"0","TUBA1A"
"118",0,0.481949872778194,0.868,0.627,0,"0","KIDINS220"
"119",0,0.479832052864599,0.373,0.214,0,"0","ELOVL6"
"120",0,0.478618690284719,0.35,0.193,0,"0","SLC4A8"
"121",0,0.477365402602651,0.928,0.753,0,"0","COX7A2"
"122",0,0.475568454968201,0.824,0.595,0,"0","CEP170"
"123",1.4366879203059e-287,0.473487915050009,0.258,0.119,4.81836394712192e-283,"0","PDE5A"
"124",0,0.473480060640836,0.42,0.248,0,"0","NAP1L3"
"125",0,0.472443137016296,0.54,0.356,0,"0","DLGAP4"
"126",0,0.470973307244628,0.789,0.603,0,"0","ATP6V1G1"
"127",0,0.470623512032342,0.609,0.342,0,"0","NSG1"
"128",0,0.468276616368314,0.825,0.643,0,"0","LSM7"
"129",0,0.466277752199488,0.964,0.793,0,"0","PTMS"
"130",0,0.461905098171568,0.643,0.449,0,"0","GNAQ"
"131",0,0.460760113430829,0.421,0.252,0,"0","KLF12"
"132",0,0.458712015383154,0.85,0.631,0,"0","FNBP1L"
"133",0,0.456027808726129,0.691,0.49,0,"0","FOXG1"
"134",2.32916672819487e-271,0.45437073546281,0.282,0.144,7.81155937301995e-267,"0","FRMD4B"
"135",0,0.452195504568531,0.332,0.159,0,"0","ACTL6B"
"136",0,0.451873699021958,0.941,0.777,0,"0","EIF4G2"
"137",4.74592329504905e-266,0.450083647163439,0.434,0.29,1.59168775469355e-261,"0","FAM89B"
"138",2.93090876622225e-300,0.450076319521885,0.473,0.318,9.82968182015617e-296,"0","CCDC28B"
"139",0,0.4487242173702,0.693,0.51,0,"0","DDAH2"
"140",0,0.447789537498654,0.756,0.577,0,"0","DNAJB6"
"141",0,0.447126857095426,0.972,0.805,0,"0","CFL1"
"142",0,0.446522900595454,0.225,0.089,0,"0","SYNPR"
"143",0,0.446454479279943,0.962,0.789,0,"0","SET"
"144",0,0.444733333161898,0.433,0.252,0,"0","GNG3"
"145",0,0.44443451440999,0.625,0.425,0,"0","TCEAL2"
"146",3.59006282201116e-289,0.443672565054315,0.236,0.106,1.2040352692461e-284,"0","GRIP1"
"147",0,0.443407349539836,0.789,0.609,0,"0","RSF1"
"148",0,0.443374073585109,0.326,0.169,0,"0","LBH"
"149",0,0.443324616969461,0.585,0.408,0,"0","MIDN"
"150",0,0.443084370900875,0.339,0.173,0,"0","PHACTR3"
"151",4.9617654174829e-05,1.34688586551004,0.231,0.268,1,"1","GOLGA8A"
"152",3.65923619458972e-07,1.14201321021706,0.321,0.499,0.012272346349415,"1","AL078639.1"
"153",6.13331234094245e-06,1.11859824905028,0.314,0.479,0.205699029290528,"1","MIAT"
"154",1.24928268669611e-11,1.02335672216837,0.33,0.523,4.18984427464141e-07,"1","NRXN1"
"155",1.00691690461147e-57,1.00467728802787,0.177,0.317,3.37699791468595e-53,"1","AL354733.3"
"156",1.97695043026629e-53,0.977197047852797,0.198,0.342,6.63029635302708e-49,"1","CADM2"
"157",2.47854259216809e-29,0.963801254077344,0.55,0.841,8.31253614561332e-25,"1","WSB1"
"158",4.95302912774851e-10,0.955655271610718,0.34,0.536,1.6611469088643e-05,"1","GRIA2"
"159",4.73244708955457e-09,0.878608356127196,0.205,0.279,0.000158716810489481,"1","SYT4"
"160",6.18114825069321e-24,0.877884092542683,0.173,0.266,2.07303350031749e-19,"1","PDK1"
"161",1.76054184038396e-65,0.871135493621283,0.164,0.302,5.90450522427972e-61,"1","ANKRD36C"
"162",1.09129720707045e-18,0.862847048222218,0.151,0.224,3.65999257307286e-14,"1","PDE10A"
"163",6.69936379115627e-05,0.848703082062878,0.135,0.169,1,"1","PDYN"
"164",1.71046598905215e-29,0.843378132903889,0.139,0.222,5.73656083408309e-25,"1","GOLGA8B"
"165",5.31463409545929e-121,0.840757424075248,0.231,0.478,1.78242198293514e-116,"1","FTX"
"166",8.65052871048399e-22,0.82612056671006,0.116,0.176,2.90121431892212e-17,"1","CCSER1"
"167",8.31976496811532e-21,0.819415399871173,0.107,0.163,2.79028277500651e-16,"1","AC003681.1"
"168",2.44167165048632e-59,0.818584428924852,0.203,0.359,8.18887838140101e-55,"1","GRIN2B"
"169",1.1499345938059e-103,0.81732275496761,0.205,0.409,3.85665064070624e-99,"1","NRXN3"
"170",5.69175150226975e-22,0.795019281429106,0.564,0.889,1.90889961883123e-17,"1","MTRNR2L12"
"171",2.24540787847271e-17,0.780545402670408,0.253,0.371,7.53064894282178e-13,"1","XIST"
"172",1.91615879775169e-83,0.774359872300681,0.151,0.295,6.42641337589961e-79,"1","VPS13C"
"173",1.37663839683257e-57,0.761772389894237,0.105,0.195,4.61696985529708e-53,"1","GRID2"
"174",1.18010112986715e-20,0.750626526130112,0.284,0.439,3.95782316934844e-16,"1","VEGFA"
"175",3.60993549388933e-90,0.728133555838908,0.156,0.308,1.2107001659406e-85,"1","LRRC7"
"176",1.90347903157668e-152,0.712093498362976,0.207,0.447,6.38388797610188e-148,"1","XPR1"
"177",1.13469295603036e-55,0.691804162893127,0.151,0.266,3.80553323593462e-51,"1","ARPP21"
"178",1.34052697200481e-71,0.68595779995848,0.122,0.234,4.49585935870974e-67,"1","NTRK3"
"179",9.52888783316854e-124,0.68411049787876,0.173,0.36,3.19579840148806e-119,"1","FAT3"
"180",2.00182757866913e-34,0.678523080781206,0.269,0.44,6.71372933334052e-30,"1","ANK3"
"181",3.6432293079978e-79,0.678430605090439,0.122,0.239,1.2218662453163e-74,"1","RIMS2"
"182",8.74305853964605e-149,0.669794712406768,0.247,0.504,2.93224697302649e-144,"1","NTM"
"183",5.44211150526395e-49,0.662622615465462,0.107,0.191,1.82517535663543e-44,"1","NFASC"
"184",1.91791410255595e-32,0.662511193545902,0.099,0.164,6.43230031715214e-28,"1","CDR1"
"185",1.85677190108001e-94,0.662242726328723,0.168,0.328,6.22724160184214e-90,"1","PFKP"
"186",3.21267651591281e-66,0.658310544019411,0.078,0.16,1.07746744990684e-61,"1","CNTN1"
"187",1.42438616099912e-149,0.653289646229975,0.193,0.42,4.77710630675886e-145,"1","PWAR6"
"188",3.3050939087616e-106,0.652965863520078,0.265,0.517,1.10846239512046e-101,"1","HMGCS1"
"189",1.40022593517563e-52,0.645243457483113,0.104,0.189,4.69607774139203e-48,"1","SCN2A"
"190",1.1833215846499e-116,0.645120175376751,0.272,0.538,3.96862393059883e-112,"1","SCD"
"191",9.3321786200878e-141,0.643492848598514,0.134,0.302,3.12982606560505e-136,"1","ISLR2"
"192",8.66008371471894e-149,0.642676043391781,0.132,0.306,2.90441887624244e-144,"1","PTPRF"
"193",6.0339040923058e-123,0.6419671329101,0.167,0.349,2.02365075447752e-118,"1","BCAT1"
"194",4.10292165376887e-198,0.641594258346453,0.197,0.46,1.376037864241e-193,"1","STARD4-AS1"
