"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.50969304395974,0.985,0.6,0,"0","DLX6-AS1"
"2",0,1.35528369864406,0.88,0.487,0,"0","PBX3"
"3",0,1.09202893567136,0.901,0.579,0,"0","PBX1"
"4",0,1.06438097441686,0.925,0.539,0,"0","RUNX1T1"
"5",0,0.999805249444234,0.619,0.171,0,"0","DUSP4"
"6",0,0.942476272246724,0.993,0.77,0,"0","STMN2"
"7",0,0.875750492322053,0.765,0.386,0,"0","CELF4"
"8",0,0.829620922898029,0.969,0.847,0,"0","SOX11"
"9",0,0.807974436906314,0.998,0.972,0,"0","SOX4"
"10",0,0.801526938778543,0.642,0.304,0,"0","WLS"
"11",0,0.753525487380351,0.988,0.788,0,"0","MEIS2"
"12",0,0.747313740702586,0.884,0.572,0,"0","BCL11A"
"13",0,0.724932381238625,0.775,0.423,0,"0","TAGLN3"
"14",0,0.714082324340758,0.755,0.496,0,"0","SHTN1"
"15",0,0.710221544900667,0.496,0.15,0,"0","TSHZ1"
"16",0,0.709552779020348,0.925,0.79,0,"0","CCDC88A"
"17",0,0.703337437895408,0.931,0.702,0,"0","MLLT11"
"18",0,0.690510406777034,0.973,0.792,0,"0","BEX1"
"19",0,0.661503321926323,0.782,0.479,0,"0","MPPED2"
"20",0,0.654949912510261,0.721,0.447,0,"0","RBP1"
"21",0,0.65352239502108,0.965,0.723,0,"0","CD24"
"22",0,0.634949360450784,0.821,0.485,0,"0","SCG3"
"23",0,0.631316824453932,1,0.966,0,"0","STMN1"
"24",0,0.625076070290064,0.996,0.818,0,"0","DCX"
"25",0,0.623291671104007,0.895,0.691,0,"0","TERF2IP"
"26",0,0.605270912853817,0.703,0.488,0,"0","KAT6B"
"27",0,0.601814330245097,0.779,0.551,0,"0","AES"
"28",0,0.593300436126771,0.997,0.947,0,"0","MARCKSL1"
"29",0,0.588550243259954,0.738,0.489,0,"0","DCLK1"
"30",0,0.58603035394672,0.624,0.398,0,"0","GNG4"
"31",0,0.585018613732641,0.937,0.786,0,"0","AKAP9"
"32",0,0.580363918418543,0.999,0.984,0,"0","H3F3B"
"33",0,0.579937575290116,0.279,0.077,0,"0","SCGN"
"34",0,0.57949919291231,0.569,0.274,0,"0","GRIA1"
"35",1.51936509506043e-303,0.564460535956919,0.225,0.081,3.70618727638091e-299,"0","CALB2"
"36",0,0.559429694679674,0.781,0.58,0,"0","APC"
"37",0,0.550362656721391,1,0.973,0,"0","MAP1B"
"38",0,0.540819764870695,0.507,0.245,0,"0","SNTG1"
"39",0,0.539206622232272,0.368,0.183,0,"0","FOXP2"
"40",0,0.534606360673798,0.866,0.667,0,"0","LINC00461"
"41",0,0.533461804590046,0.703,0.442,0,"0","GRIA2"
"42",0,0.533086679330275,0.715,0.425,0,"0","AC004158.1"
"43",0,0.530780564570764,0.614,0.398,0,"0","EFNB2"
"44",0,0.526300041394108,0.471,0.183,0,"0","SLAIN1"
"45",0,0.524761126734511,0.589,0.369,0,"0","ATP1B1"
"46",0,0.523592341817325,0.672,0.375,0,"0","DLX5"
"47",0,0.516299408947194,0.48,0.26,0,"0","GABBR1"
"48",0,0.514794257911952,0.995,0.969,0,"0","DDX5"
"49",0,0.512613907087143,0.524,0.299,0,"0","DCLK2"
"50",0,0.508872765828818,0.875,0.72,0,"0","ZNF428"
"51",0,0.505024147663927,0.481,0.2,0,"0","LINC00599"
"52",0,0.501970894192077,0.407,0.148,0,"0","CPLX2"
"53",0,0.497317648126166,0.585,0.323,0,"0","NRXN3"
"54",0,0.494668013274804,0.559,0.338,0,"0","MEF2C"
"55",0,0.493559168512489,0.786,0.518,0,"0","SYT1"
"56",0,0.478797287088197,0.307,0.122,0,"0","SYT10"
"57",0,0.466416758206425,0.522,0.259,0,"0","C11orf96"
"58",0,0.460705888298652,0.856,0.668,0,"0","PAFAH1B3"
"59",3.64957793678872e-294,0.450108365491182,0.548,0.362,8.90241546120872e-290,"0","TMEM161B-AS1"
"60",9.48069043933927e-202,0.450049623014138,0.512,0.369,2.31262481886803e-197,"0","LAPTM4B"
"61",0,0.447862033618565,0.873,0.675,0,"0","KIDINS220"
"62",0,0.446237925106061,0.999,0.927,0,"0","BASP1"
"63",0,0.444860144374851,0.964,0.91,0,"0","EIF4G2"
"64",2.5067350656476e-297,0.444291637233686,0.778,0.615,6.11467884563418e-293,"0","ZBTB20"
"65",0,0.443268806460076,0.842,0.628,0,"0","CRMP1"
"66",0,0.441167253503505,0.652,0.444,0,"0","NFIB"
"67",6.97026581742293e-269,0.438366466807339,0.539,0.366,1.70025694084398e-264,"0","MICU1"
"68",0,0.436779831896053,0.386,0.161,0,"0","ZADH2"
"69",0,0.436313373008395,0.921,0.789,0,"0","C4orf48"
"70",0,0.429298174036078,0.467,0.244,0,"0","TIAM2"
"71",0,0.426180827368117,1,0.94,0,"0","TUBB2B"
"72",0,0.424886230941946,0.6,0.33,0,"0","DLX1"
"73",0,0.420185719226708,1,0.993,0,"0","TUBA1A"
"74",0,0.419506354406531,0.996,0.869,0,"0","NNAT"
"75",0,0.408488303912435,0.424,0.193,0,"0","LRP8"
"76",0,0.405390641887182,0.962,0.864,0,"0","NREP"
"77",0,0.403953256145677,0.887,0.677,0,"0","ELAVL3"
"78",0,0.400663162470322,1,0.998,0,"0","H3F3A"
"79",4.48350839642077e-287,0.397662597717528,0.778,0.629,1.09366220313892e-282,"0","PPP1R14B"
"80",1.3600945204841e-303,0.397183722149493,0.761,0.602,3.31767856381687e-299,"0","FEZ1"
"81",6.02591470868712e-260,0.396739345219816,0.74,0.561,1.46990137489005e-255,"0","BEX2"
"82",2.70031011169784e-249,0.396734995796533,0.554,0.377,6.58686645546455e-245,"0","ZNF704"
"83",0,0.393112740953055,0.962,0.848,0,"0","MAP2"
"84",0,0.39049306969825,0.831,0.66,0,"0","CEP170"
"85",6.23904124144727e-305,0.388221048472709,0.49,0.294,1.52188933002623e-300,"0","MEIS3"
"86",1.12410347237712e-224,0.38556257693118,0.697,0.538,2.74202560016952e-220,"0","FOXG1"
"87",0,0.38268874304697,1,0.999,0,"0","TMSB10"
"88",0,0.379830579492273,0.983,0.87,0,"0","JPT1"
"89",0,0.37865572907798,0.772,0.578,0,"0","KIFAP3"
"90",0,0.377010950219217,0.789,0.533,0,"0","RTN1"
"91",0,0.372893264633579,0.453,0.235,0,"0","ARX"
"92",6.13203765792405e-298,0.3684671328216,0.857,0.702,1.49578794589741e-293,"0","FNBP1L"
"93",1.72288681039723e-294,0.362338025043444,0.569,0.358,4.20263779660196e-290,"0","GPC2"
"94",0,0.359331619042887,0.34,0.149,0,"0","PTPRO"
"95",6.84020171693501e-231,0.358877269147966,0.651,0.495,1.66853040481196e-226,"0","GNAQ"
"96",1.58476397972278e-241,0.357688592469997,0.659,0.496,3.86571477573777e-237,"0","DBN1"
"97",0,0.355717366534456,0.999,0.99,0,"0","MT-ND1"
"98",5.5831773825173e-219,0.34821982048372,0.712,0.569,1.36190445891745e-214,"0","TOP2B"
"99",0,0.346283027957872,0.262,0.061,0,"0","TMEFF2"
"100",5.51037605295842e-269,0.346071648138896,0.915,0.837,1.34414603059815e-264,"0","ATRX"
"101",4.00156960794254e-142,0.345916624447097,0.341,0.219,9.76102874465423e-138,"0","FGF13"
"102",0,0.345250736948961,0.493,0.277,0,"0","GDAP1L1"
"103",0,0.34142924746329,0.235,0.047,0,"0","ERBB4"
"104",0,0.341133009105323,0.961,0.928,0,"0","COX7A2"
"105",1.61717473715017e-212,0.340637280485342,0.586,0.421,3.9447743363304e-208,"0","TNRC6C"
"106",8.61628769325428e-254,0.340172414896395,1,0.999,2.10177105701552e-249,"0","ACTG1"
"107",3.51542060151144e-241,0.336263745161788,0.367,0.205,8.57516547326686e-237,"0","SLC4A8"
"108",2.12012307547412e-268,0.335933023335778,0.466,0.279,5.17161621800402e-264,"0","ABRACL"
"109",1.92290050988994e-223,0.335278648837234,0.623,0.457,4.69053121377454e-219,"0","GSTA4"
"110",3.18059697538208e-288,0.334768399598107,0.937,0.884,7.7584302020495e-284,"0","GTF2I"
"111",4.37488971767199e-230,0.333481577638214,0.335,0.18,1.06716684883173e-225,"0","SIPA1L1"
"112",3.34037353427094e-209,0.333246728448757,0.625,0.47,8.14817316214709e-205,"0","TDG"
"113",2.39285854235879e-240,0.332122977089327,0.805,0.663,5.83689984237581e-236,"0","RERE"
"114",1.24722472558349e-219,0.326250560434117,0.805,0.698,3.04235527311582e-215,"0","HDAC2"
"115",1.06823777659432e-240,0.324974469171351,0.439,0.26,2.60575240844651e-236,"0","CAMK4"
"116",8.48184753842524e-207,0.324635596148603,0.753,0.611,2.06897707004807e-202,"0","TCF4"
"117",1.47865672592433e-196,0.321955408855585,0.682,0.549,3.60688735154723e-192,"0","ATXN7L3B"
"118",0,0.320569797963287,0.246,0.091,0,"0","PCDH11X"
"119",0,0.31501249704808,0.999,0.994,0,"0","ATP5F1E"
"120",0,0.314429960769281,0.356,0.161,0,"0","SCRT2"
"121",0,0.314362398320412,0.313,0.132,0,"0","SP8"
"122",4.03332251197518e-207,0.314178422106851,0.314,0.168,9.83848360346106e-203,"0","SNCA"
"123",0,0.31401103389958,0.204,0.035,0,"0","KCNJ3"
"124",1.50729252762911e-303,0.312903689791181,0.57,0.335,3.67673866264568e-299,"0","GAD2"
"125",8.10791718122408e-271,0.312700388209482,0.366,0.185,1.97776423801599e-266,"0","NRP2"
"126",1.90085746285452e-211,0.312487553123203,0.718,0.559,4.63676160914104e-207,"0","KLC1"
