"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.59078622010828,0.983,0.583,0,"0","DLX6-AS1"
"2",0,1.31594845156715,0.853,0.48,0,"0","PBX3"
"3",0,1.09134721046159,0.893,0.567,0,"0","PBX1"
"4",0,1.08712575360659,0.921,0.523,0,"0","RUNX1T1"
"5",0,0.959423340119129,0.994,0.76,0,"0","STMN2"
"6",0,0.956803846024035,0.587,0.163,0,"0","DUSP4"
"7",0,0.952527425502257,0.998,0.97,0,"0","SOX4"
"8",0,0.927436773876791,0.972,0.84,0,"0","SOX11"
"9",0,0.878804156118016,0.752,0.374,0,"0","CELF4"
"10",0,0.844929631607841,0.987,0.78,0,"0","MEIS2"
"11",0,0.83302831860022,0.888,0.556,0,"0","BCL11A"
"12",0,0.76793248226773,0.619,0.298,0,"0","WLS"
"13",0,0.721689796451676,0.931,0.692,0,"0","MLLT11"
"14",0,0.721522967720822,0.765,0.411,0,"0","TAGLN3"
"15",0,0.706531859184522,0.785,0.465,0,"0","MPPED2"
"16",0,0.703411267757094,0.923,0.785,0,"0","CCDC88A"
"17",0,0.699336787496293,0.48,0.141,0,"0","TSHZ1"
"18",0,0.697082437907751,0.732,0.405,0,"0","AC004158.1"
"19",0,0.69200016747582,0.996,0.81,0,"0","DCX"
"20",0,0.690138165559972,0.965,0.712,0,"0","CD24"
"21",0,0.688755720443996,0.739,0.491,0,"0","SHTN1"
"22",0,0.684432056422132,0.725,0.433,0,"0","RBP1"
"23",0,0.670512654030421,0.97,0.785,0,"0","BEX1"
"24",0,0.664157176496861,1,0.964,0,"0","STMN1"
"25",0,0.646711746645885,0.817,0.472,0,"0","SCG3"
"26",0,0.635563765504587,0.893,0.683,0,"0","TERF2IP"
"27",0,0.621726277914911,0.937,0.779,0,"0","AKAP9"
"28",0,0.613937469469585,0.997,0.945,0,"0","MARCKSL1"
"29",0,0.600254539211216,0.791,0.504,0,"0","SYT1"
"30",0,0.597113436810648,0.772,0.543,0,"0","AES"
"31",0,0.580660499892522,0.73,0.481,0,"0","DCLK1"
"32",0,0.577414935566531,0.999,0.983,0,"0","H3F3B"
"33",0,0.576541166701382,0.688,0.484,0,"0","KAT6B"
"34",0,0.565150711634037,1,0.972,0,"0","MAP1B"
"35",0,0.56464818716286,0.613,0.392,0,"0","GNG4"
"36",0,0.556893948078821,0.551,0.268,0,"0","GRIA1"
"37",0,0.553960500113557,0.67,0.363,0,"0","DLX5"
"38",0,0.544855159677444,0.774,0.573,0,"0","APC"
"39",0,0.537908217385215,0.556,0.329,0,"0","MEF2C"
"40",0,0.53585859871725,0.695,0.433,0,"0","GRIA2"
"41",0,0.529953815844963,0.26,0.076,0,"0","SCGN"
"42",0,0.529173844419184,0.359,0.178,0,"0","FOXP2"
"43",0,0.525961957632153,0.873,0.714,0,"0","ZNF428"
"44",1.58273294379806e-281,0.52588093308551,0.213,0.08,3.86076046980661e-277,"0","CALB2"
"45",0,0.521957436555142,0.478,0.189,0,"0","LINC00599"
"46",0,0.517448049097151,0.86,0.66,0,"0","LINC00461"
"47",0,0.509779837638063,0.454,0.177,0,"0","SLAIN1"
"48",0,0.509086944884506,0.995,0.968,0,"0","DDX5"
"49",0,0.505417819623624,0.486,0.241,0,"0","SNTG1"
"50",0,0.503017383754231,0.398,0.139,0,"0","CPLX2"
"51",0,0.50191453462529,0.512,0.294,0,"0","DCLK2"
"52",0,0.500145762123202,0.58,0.314,0,"0","NRXN3"
"53",0,0.49757597934174,0.878,0.664,0,"0","KIDINS220"
"54",0,0.494859602907572,0.784,0.606,0,"0","ZBTB20"
"55",0,0.49191305854603,0.597,0.395,0,"0","EFNB2"
"56",0,0.48961132926534,0.571,0.367,0,"0","ATP1B1"
"57",0,0.484110869033162,0.462,0.256,0,"0","GABBR1"
"58",0,0.481500754726512,0.855,0.659,0,"0","PAFAH1B3"
"59",0,0.477871143554508,0.518,0.248,0,"0","C11orf96"
"60",0,0.474082876631744,0.999,0.924,0,"0","BASP1"
"61",0,0.469958304107505,0.303,0.115,0,"0","SYT10"
"62",0,0.461247994241138,1,0.937,0,"0","TUBB2B"
"63",0,0.460481431861962,0.843,0.618,0,"0","CRMP1"
"64",0,0.45775297539892,0.964,0.908,0,"0","EIF4G2"
"65",0,0.450863047204523,1,0.993,0,"0","TUBA1A"
"66",0,0.447387055884724,0.964,0.859,0,"0","NREP"
"67",0,0.446986060216027,0.996,0.863,0,"0","NNAT"
"68",0,0.438990893983817,0.918,0.784,0,"0","C4orf48"
"69",0,0.434797171895238,0.889,0.666,0,"0","ELAVL3"
"70",0,0.427068520095313,0.461,0.237,0,"0","TIAM2"
"71",2.37261037099729e-276,0.421282399145405,0.534,0.36,5.78750847797369e-272,"0","TMEM161B-AS1"
"72",1.76528080278422e-293,0.417410551219314,0.704,0.528,4.30604946223155e-289,"0","FOXG1"
"73",1.63146008125425e-300,0.417174432071858,0.556,0.368,3.9796205762035e-296,"0","ZNF704"
"74",0,0.415900519457001,0.835,0.651,0,"0","CEP170"
"75",0,0.414992425425194,0.37,0.157,0,"0","ZADH2"
"76",0,0.408116932369643,1,0.998,0,"0","H3F3A"
"77",0,0.406908338996578,0.962,0.842,0,"0","MAP2"
"78",0,0.404792103841117,0.79,0.521,0,"0","RTN1"
"79",0,0.404663458780152,0.588,0.322,0,"0","DLX1"
"80",1.78180134871651e-242,0.404466165821195,0.522,0.364,4.34634802992419e-238,"0","MICU1"
"81",0,0.403540402271388,0.86,0.693,0,"0","FNBP1L"
